subject ID,condition,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,heartRate
0017,,348.1206,7.322515,359.2113,0.0008239746,0
0017,,341.2224,345.073,1.156201,485.2932,0
0017,,345.1658,344.4149,0.6428624,-0.3120728,0
0017,,343.9489,345.1301,0.5543815,0.09106445,0
0017,,341.0844,346.8167,359.9833,118.2566,0
0017,,338.5899,347.4773,0.07652559,-118.9214,0
0017,,342.73,346.6698,1.420583,0.8708496,0
0017,,354.5536,346.5766,0.5102372,2.274048,0
0017,,358.2118,349.8906,359.4836,0.3325195,0
0017,,359.3514,350.9896,359.4589,0.3280029,0
0017,,1.415742,352.5521,358.3676,0.09448242,0
0017,,3.438041,352.4091,358.2189,-0.07162476,0
0017,,6.122148,350.8435,0.1633781,-151.8487,0
0017,,6.032562,351.215,0.587225,0.1711731,0
0017,,6.041827,352.8113,1.011539,0.3223877,0
0017,,5.798956,353.7634,0.9494553,0.1732483,0
0017,,5.899687,353.9278,0.8731639,-0.01867676,0
0017,,6.264884,353.6735,1.036189,-0.0569458,0
0017,,6.699694,359.714,1.034772,-0.009033203,0
0017,,6.794751,0.1909983,1.308216,0.02079344,0
0017,,7.309643,2.278045,2.99858,0.157526,0
0017,,6.753142,5.234257,4.875667,0.04131889,0
0017,,5.116658,5.139118,5.007418,-0.29638,0
0017,,5.989977,5.02762,3.525982,0.6351023,0
0017,,9.467728,4.996555,3.342439,-0.0899744,0
0017,,10.73962,4.661229,2.407413,-0.07939816,0
0017,,8.866301,3.203305,0.8631946,-0.09361458,0
0017,,10.13607,2.586565,359.8451,-0.04141235,0
0017,,11.16619,2.10051,359.2859,-0.1021423,0
0017,,13.85835,359.5117,358.5082,-0.1005859,0
0017,,13.6572,358.3422,357.3949,0.02532959,0
0017,,14.77802,356.4125,357.0043,-0.4409485,0
0017,,16.16706,353.3242,356.1668,-0.1579285,0
0017,,15.79578,351.7343,355.9784,-0.1151123,0
0017,,15.63736,350.8869,356.193,0.005584717,0
0017,,15.86081,350.3705,356.1072,-0.09506226,0
0017,,15.15505,350.0243,355.7871,-0.03295898,0
